word,year,transformed_score
unintelligent,1970,21
unkind,1970,-53
unrealistic,1970,54
unscrupulous,1970,-46
unselfish,1970,60
unstable,1970,60
vindictive,1970,-3
versatile,1970,23
warm,1970,159
wary,1970,-24
weak,1970,116
whiny,1970,105
wholesome,1970,35
wise,1970,-84
withdrawn,1970,4
witty,1970,-32
worrying,1970,72
zany,1970,45
absent-minded,1990,-100
active,1990,-310
adaptable,1990,130
adventurous,1990,-430
affected,1990,300
affectionate,1990,400
aggressive,1990,-380
alert,1990,-100
aloof,1990,0
ambitious,1990,-320
anxious,1990,270
apathetic,1990,-30
appreciative,1990,240
argumentative,1990,-90
arrogant,1990,-240
artistic,1990,160
assertive,1990,-230
attractive,1990,360
autocratic,1990,-360
awkward,1990,-140
bitter,1990,-10
blustery,1990,-150
boastful,1990,-270
bossy,1990,-180
calm,1990,20
capable,1990,-200
careless,1990,-150
cautious,1990,170
changeable,1990,220
charming,1990,310
cheerful,1990,140
civilized,1990,20
clear-thinking,1990,-210
clever,1990,-140
coarse,1990,-410
cold,1990,-80
commonplace,1990,-40
complaining,1990,290
complicated,1990,200
conceited,1990,-180
confident,1990,-270
confused,1990,170
conscientious,1990,50
conservative,1990,-30
considerate,1990,150
contented,1990,70
conventional,1990,-40
cool,1990,-140
cooperative,1990,40
courageous,1990,-360
cowardly,1990,50
cruel,1990,-290
curious,1990,260
cynical,1990,-190
daring,1990,-360
deceitful,1990,-20
defensive,1990,70
deliberate,1990,-110
demanding,1990,20
dependable,1990,-60
dependent,1990,310
despondent,1990,140
determined,1990,-280
dignified,1990,-30
discreet,1990,10
disorderly,1990,-260
dissatisfied,1990,80
distractible,1990,100
distrustful,1990,50
dominant,1990,-370
dreamy,1990,330
dull,1990,-60
easy-going,1990,-140
effeminate,1990,90
efficient,1990,-130
egotistical,1990,-270
emotional,1990,380
energetic,1990,-320
enterprising,1990,-310
enthusiastic,1990,-10
evasive,1990,40
excitable,1990,170
fair-minded,1990,-90
fault-finding,1990,170
fearful,1990,330
feminine,1990,420
fickle,1990,230
flirtatious,1990,150
foolish,1990,170
forceful,1990,-430
foresighted,1990,-80
forgetful,1990,-80
forgiving,1990,170
formal,1990,-110
frank,1990,-150
friendly,1990,80
frivolous,1990,220
fussy,1990,260
generous,1990,-50
gentle,1990,290
gloomy,1990,-60
good-looking,1990,140
good-natured,1990,-10
greedy,1990,-170
handsome,1990,-190
hard-headed,1990,-240
hard-hearted,1990,-270
hasty,1990,-40
headstrong,1990,-210
healthy,1990,-190
helpful,1990,150
high-strung,1990,180
honest,1990,-50
hostile,1990,-160
humorous,1990,-230
hurried,1990,-50
idealistic,1990,-40
imaginative,1990,180
immature,1990,20
impatient,1990,-90
impulsive,1990,60
independent,1990,-340
indifferent,1990,-190
individualistic,1990,-210
industrious,1990,-100
infantile,1990,60
informal,1990,-340
ingenious,1990,-190
inhibited,1990,80
initiative,1990,-250
insightful,1990,-80
intelligent,1990,-180
interests narrow,1990,160
interests wide,1990,-230
intolerant,1990,-150
inventive,1990,-310
irresponsible,1990,-130
irritable,1990,0
jolly,1990,-90
kind,1990,210
lazy,1990,-230
leisurely,1990,-90
logical,1990,-290
loud,1990,-260
loyal,1990,80
mannerly,1990,20
masculine,1990,-460
mature,1990,-60
meek,1990,250
methodical,1990,-100
mild,1990,280
mischievous,1990,-130
moderate,1990,20
modest,1990,180
moody,1990,110
nagging,1990,200
natural,1990,-30
nervous,1990,220
noisy,1990,-150
obliging,1990,100
obnoxious,1990,-220
opinionated,1990,-170
opportunistic,1990,-220
optimistic,1990,-80
organized,1990,-50
original,1990,-100
outgoing,1990,-140
outspoken,1990,-160
painstaking,1990,60
patient,1990,180
peaceable,1990,150
peculiar,1990,0
persevering,1990,-100
persistent,1990,-130
pessimistic,1990,0
planful,1990,-130
pleasant,1990,240
pleasure-seeking,1990,-180
poised,1990,60
polished,1990,50
practical,1990,-130
praising,1990,60
precise,1990,-170
prejudiced,1990,20
preoccupied,1990,-70
progressive,1990,-280
prudish,1990,260
quarrelsome,1990,70
queer,1990,-130
quick,1990,-220
quiet,1990,130
quitting,1990,70
rational,1990,-250
rattlebrained,1990,160
realistic,1990,-250
reasonable,1990,-130
rebellious,1990,-110
reckless,1990,-240
reflective,1990,-30
relaxed,1990,-90
reliable,1990,-110
resentful,1990,100
reserved,1990,90
resourceful,1990,-200
responsible,1990,-150
restless,1990,-180
retiring,1990,-20
rigid,1990,-240
robust,1990,-350
rude,1990,-330
sarcastic,1990,-110
self-centered,1990,-110
